/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ SearchAutocompleteBox     | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ CardBadgeStack            | Z_INDEX_LOWER        | z-20 -> z-0
  ✅ HeroSectionLayer          | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | absolute -> relative
  ✅ SidebarNavigation         | RANDOM_LAYER_SWAP    | z-0 -> z-[-10]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_04.jsx

--- Processing Batch 05 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> relative
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | Z_INDEX_LOWER        | z-10 -> z-0
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ TooltipDisplay            | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ CookieNoticeBox           | RANDOM_LAYER_SWAP    | z-10 -> z-50
  ✅ PricingCardHighlight      | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> relative
  ✅ ContextList               | RANDOM_LAYER_SWAP    | z-0 -> z-50
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> relative
  ✅ LockedContentOverlay      | POSITION_BREAK       | relative -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ CardBadgeStack            | POSITION_BREAK       | relative -> static
  ✅ HeroSectionLayer          | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-0 -> z-[999]
  ✅ SidebarNavigation         | Z_INDEX_LOWER        | z-20 -> z-[-1]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_05.jsx

--- Processing Batch 06 ---
  ✅ StaticModal               | RANDOM_LAYER_SWAP    | z-0 -> z-[1]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> relative
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | relative -> static
  ✅ MultiLevelMenu            | Z_INDEX_EXTREME      | z-50 -> z-[100]
  ✅ StickyHeaderMock          | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ TooltipDisplay            | POSITION_BREAK       | absolute -> static
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | RANDOM_LAYER_SWAP    | z-0 -> z-20
  ✅ CookieNoticeBox           | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> static
  ✅ ContextList               | POSITION_BREAK       | absolute -> static
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> relative
  ✅ LockedContentOverlay      | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | absolute -> static
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> relative
  ✅ HeroSectionLayer          | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ BreadcrumbOverlay         | Z_INDEX_LOWER        | z-10 -> z-[-10]
  ✅ SidebarNavigation         | RANDOM_LAYER_SWAP    | z-0 -> z-[1]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_06.jsx

--- Processing Batch 07 ---
  ✅ StaticModal               | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ PermanentNotification     | RANDOM_LAYER_SWAP    | z-20 -> z-[-1]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> relative
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> static
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> static
  ✅ AvatarOverlap             | Z_INDEX_LOWER        | z-40 -> z-[-1]
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> static
  ✅ CookieNoticeBox           | POSITION_BREAK       | relative -> static
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | RANDOM_LAYER_SWAP    | z-0 -> z-30
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-1]
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> relative
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> relative
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> absolute
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | absolute -> relative
  ✅ CardBadgeStack            | Z_INDEX_LOWER        | z-10 -> z-0
  ✅ HeroSectionLayer          | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | relative -> absolute
  ✅ SidebarNavigation         | POSITION_BREAK       | relative -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_07.jsx

--- Processing Batch 08 ---
  ✅ StaticModal               | RANDOM_LAYER_SWAP    | z-20 -> z-[1]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-[999]
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> absolute
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> absolute
  ✅ AvatarOverlap             | RANDOM_LAYER_SWAP    | z-20 -> z-[1]
  ✅ VideoPlayerUI             | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ CookieNoticeBox           | POSITION_BREAK       | absolute -> static
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | POSITION_BREAK       | relative -> static
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ StepProgressStack         | Z_INDEX_LOWER        | z-10 -> z-0
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | POSITION_BREAK       | relative -> absolute
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> static
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ SidebarNavigation         | POSITION_BREAK       | relative -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_08.jsx

--- Processing Batch 09 ---
  ✅ StaticModal               | RANDOM_LAYER_SWAP    | z-0 -> z-[-10]
  ✅ PermanentNotification     | POSITION_BREAK       | relative -> static
  ✅ ImageBadgeOverlay         | Z_INDEX_LOWER        | z-10 -> z-0
  ✅ MultiLevelMenu            | Z_INDEX_LOWER        | z-40 -> z-[-1]
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> absolute
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-10 -> z-[-10]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> static
  ✅ VideoPlayerUI             | Z_INDEX_EXTREME      | z-0 -> z-[999]
  ✅ CookieNoticeBox           | POSITION_BREAK       | absolute -> relative
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | Z_INDEX_LOWER        | z-50 -> z-[-1]
  ✅ ContextList               | POSITION_BREAK       | relative -> static
  ✅ StepProgressStack         | RANDOM_LAYER_SWAP    | z-0 -> z-30
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> relative
  ✅ SearchAutocompleteBox     | RANDOM_LAYER_SWAP    | z-50 -> z-30
  ✅ CardBadgeStack            | POSITION_BREAK       | relative -> static
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> relative
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ SidebarNavigation         | POSITION_BREAK       | relative -> absolute
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_09.jsx

--- Processing Batch 10 ---
  ✅ StaticModal               | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> relative
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | relative -> absolute
  ✅ MultiLevelMenu            | RANDOM_LAYER_SWAP    | z-40 -> z-0
  ✅ StickyHeaderMock          | Z_INDEX_LOWER        | z-10 -> z-0
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> absolute
  ✅ AvatarOverlap             | Z_INDEX_EXTREME      | z-50 -> z-[999]
  ✅ VideoPlayerUI             | Z_INDEX_LOWER        | z-0 -> z-[-1]
  ✅ CookieNoticeBox           | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> static
  ✅ ContextList               | POSITION_BREAK       | absolute -> static
  ✅ StepProgressStack         | POSITION_BREAK       | relative -> absolute
  ✅ LockedContentOverlay      | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> relative
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> static
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> absolute
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | relative -> absolute
  ✅ SidebarNavigation         | POSITION_BREAK       | absolute -> relative
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_10.jsx

--- Processing Batch 11 ---
  ✅ StaticModal               | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> relative
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | relative -> static
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-0
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ CookieNoticeBox           | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ PricingCardHighlight      | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> static
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ StepProgressStack         | Z_INDEX_LOWER        | z-0 -> z-[-1]
  ✅ LockedContentOverlay      | POSITION_BREAK       | relative -> absolute
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> static
  ✅ CardBadgeStack            | RANDOM_LAYER_SWAP    | z-10 -> z-[-1]
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> static
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | relative -> absolute
  ✅ SidebarNavigation         | POSITION_BREAK       | absolute -> relative
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_11.jsx

--- Processing Batch 12 ---
  ✅ StaticModal               | Z_INDEX_LOWER        | z-20 -> z-[-10]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> relative
  ✅ ImageBadgeOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> absolute
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | POSITION_BREAK       | relative -> static
  ✅ CookieNoticeBox           | RANDOM_LAYER_SWAP    | z-0 -> z-[999]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | Z_INDEX_EXTREME      | z-50 -> z-[100]
  ✅ ContextList               | RANDOM_LAYER_SWAP    | z-0 -> z-50
  ✅ StepProgressStack         | POSITION_BREAK       | relative -> absolute
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> relative
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> static
  ✅ CardBadgeStack            | POSITION_BREAK       | relative -> absolute
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> absolute
  ✅ BreadcrumbOverlay         | RANDOM_LAYER_SWAP    | z-0 -> z-10
  ✅ SidebarNavigation         | Z_INDEX_EXTREME      | z-0 -> z-[999]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_12.jsx

--- Processing Batch 13 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | RANDOM_LAYER_SWAP    | z-20 -> z-[-1]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> static
  ✅ MultiLevelMenu            | Z_INDEX_EXTREME      | z-50 -> z-[999]
  ✅ StickyHeaderMock          | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-[-1]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> static
  ✅ VideoPlayerUI             | Z_INDEX_LOWER        | z-20 -> z-[-1]
  ✅ CookieNoticeBox           | RANDOM_LAYER_SWAP    | z-20 -> z-40
  ✅ PricingCardHighlight      | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ FloatingActionDisplay     | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ ContextList               | POSITION_BREAK       | relative -> absolute
  ✅ StepProgressStack         | RANDOM_LAYER_SWAP    | z-0 -> z-[5]
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> relative
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> relative
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> static
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> static
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> static
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ SidebarNavigation         | POSITION_BREAK       | absolute -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_13.jsx

--- Processing Batch 14 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ MultiLevelMenu            | RANDOM_LAYER_SWAP    | z-50 -> z-10
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-0
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> static
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> static
  ✅ CookieNoticeBox           | Z_INDEX_EXTREME      | z-20 -> z-[999]
  ✅ PricingCardHighlight      | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> relative
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-1]
  ✅ StepProgressStack         | POSITION_BREAK       | relative -> absolute
  ✅ LockedContentOverlay      | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> static
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ SidebarNavigation         | Z_INDEX_LOWER        | z-0 -> z-[-1]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_14.jsx

--- Processing Batch 15 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> relative
  ✅ PermanentNotification     | Z_INDEX_EXTREME      | z-20 -> z-[100]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> static
  ✅ MultiLevelMenu            | Z_INDEX_EXTREME      | z-50 -> z-[999]
  ✅ StickyHeaderMock          | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ TooltipDisplay            | RANDOM_LAYER_SWAP    | z-20 -> z-[-1]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ CookieNoticeBox           | POSITION_BREAK       | relative -> absolute
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | Z_INDEX_LOWER        | z-0 -> z-[-1]
  ✅ ContextList               | POSITION_BREAK       | relative -> absolute
  ✅ StepProgressStack         | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ LockedContentOverlay      | POSITION_BREAK       | relative -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> absolute
  ✅ SearchAutocompleteBox     | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ CardBadgeStack            | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> static
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | relative -> static
  ✅ SidebarNavigation         | POSITION_BREAK       | relative -> absolute
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_15.jsx

--- Processing Batch 16 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
