/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | RANDOM_LAYER_SWAP    | z-20 -> z-0
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> absolute
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | absolute -> relative
  ✅ OverlaySidebar            | POSITION_BREAK       | absolute -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_04.jsx

--- Processing Batch 05 ---
  ✅ CenterDialogOverlay       | POSITION_BREAK       | absolute -> relative
  ✅ PermanentNotification     | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ ImageBadgeOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-50
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | RANDOM_LAYER_SWAP    | z-0 -> z-[1]
  ✅ TooltipDisplay            | RANDOM_LAYER_SWAP    | z-10 -> z-[5]
  ✅ AvatarOverlap             | RANDOM_LAYER_SWAP    | z-30 -> z-10
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ FloatingLegalBanner       | RANDOM_LAYER_SWAP    | z-0 -> z-[-1]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | POSITION_BREAK       | relative -> static
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ StepProgressStack         | RANDOM_LAYER_SWAP    | z-10 -> z-20
  ✅ LockedContentOverlay      | RANDOM_LAYER_SWAP    | z-10 -> z-[-10]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> static
  ✅ HeroSectionLayer          | POSITION_BREAK       | absolute -> static
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | relative -> static
  ✅ OverlaySidebar            | Z_INDEX_EXTREME      | z-0 -> z-[100]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_05.jsx

--- Processing Batch 06 ---
  ✅ CenterDialogOverlay       | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ ImageBadgeOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-[-10]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> static
  ✅ VideoPlayerUI             | Z_INDEX_LOWER        | z-10 -> z-0
